"M01","M01 МЕГА","Ташкент и Ташкентская область"
"M02","M02 ТОШМИ","Ташкент и Ташкентская область"
"M03","M03 САЕХАТ","Ташкент и Ташкентская область"
"M04","M04 САМПИ","Ташкент и Ташкентская область"
"M05","M05 КОРАТОШ","Ташкент и Ташкентская область"
"M06","M06 ГЛИНКА","Ташкент и Ташкентская область"
"M07","M07 ЧИЛОНЗОР","Ташкент и Ташкентская область"
"M08","M08 ФАРГОНА","Ташкент и Ташкентская область"
"M11","M11 ЮНУСОБОД","Ташкент и Ташкентская область"
"M15","M15 КАТОРТОЛ","Ташкент и Ташкентская область"
"M16","M16 МИКРОРАЙОН","Андижанская область"
"M17","M17 ШОДЛИК","Наманганская область"
"M18","M18 НОВЗА","Ташкент и Ташкентская область"
"M19","M19 ШАХРИХОН","Андижанская область"
"M20","M20 ПУШКИН","Андижанская область"
"M21","M21 КИБРАЙ","Ташкент и Ташкентская область"
"M22","M22 АСАКА","Андижанская область"
"M23","M23 КОРАСУВ","Ташкент и Ташкентская область"
"M24","M24 КУКОН","Ферганская область"
"M25","M25 ШТАБ","Ташкент и Ташкентская область"
"M26","M26 ТОЙТЕПА","Ташкент и Ташкентская область"
"M27","M27 ФАРГОНА","Ферганская область"
"M28","M28 МАНГО","Ферганская область"
"M29","M29 ЧИРЧИК 1","Ташкент и Ташкентская область"
"M31","M31 ГАГАРИН","Самаркандская область"
"M32","M32 ЦУМ","Навоийская область"
"M33","M33 НАВОИ","Навоийская область"
"M34","M34 КУЙЛЮК","Ташкент и Ташкентская область"
"M35","M35 НОВОМОСК","Ташкент и Ташкентская область"
"M36","M36 МАРГИЛОН","Ферганская область"
"M37","M37 БАШЛИК","Ташкент и Ташкентская область"
"M38","M38 ИБН СИНО","Ташкент и Ташкентская область"
"M39","M39 БЕТТА","Наманганская область"
"M40","M40 ЮНУСОБОД","Ташкент и Ташкентская область"
"M42","M42 ОХУНБОБОЕВ","Ташкент и Ташкентская область"
"M43","M43 ЯНГИЮЛЬ","Ташкент и Ташкентская область"
"M44","M44 ТУРАКУРГАН","Наманганская область"
"M45","M45 ЗАНГИОТА","Ташкент и Ташкентская область"
"M46","M46 УЙЧИ","Наманганская область"
"M47","M47 БУВАЙДА","Ферганская область"
"M49","M49 РИШТОН","Ферганская область"
"M50","M50 МВД","Ташкент и Ташкентская область"
"M51","M51 ИЗБОСГАН","Андижанская область"
"M53","M53 ЧИРЧ.ЦЕНТР","Ташкент и Ташкентская область"
"M54","M54 ХОНОБОД","Андижанская область"
"M55","M55 ЭСКИ ШАХАР","Ташкент и Ташкентская область"
"M56","M56 КОМПАС","Ташкент и Ташкентская область"
"M57","M57 СЕВЕРНЫЙ ВОКЗАЛ","Ташкент и Ташкентская область"
"M58","M58 ОКТЕПА","Ташкент и Ташкентская область"
"M59","M59 ЭКОПАРК","Ташкент и Ташкентская область"
"M60","M60 ШАХРИСАБЗ","Кашкадарьинская область"
"M61","M61 ТАШСЕЛЬМАШ","Ташкент и Ташкентская область"
"M62","M62 КАРШИ 2","Кашкадарьинская область"
"M63","M63 РИВЬЕРА","Ташкент и Ташкентская область"
"M64","M64 ОЛТИАРИК","Ферганская область"
"M65","M65 АНХОР ЛОКОМОТИВ","Ташкент и Ташкентская область"
"M66","M66 МАСТЕР БЕКЕРИ","Ташкент и Ташкентская область"
"M67","M67 ЯНГИ ХАЕТ","Ташкент и Ташкентская область"
"M68","M68 ПАРК ФУРКАТ","Ташкент и Ташкентская область"
"M69","M69 PARISEN","Ташкент и Ташкентская область"
"M70","M70 КУЙЛЮК 4","Ташкент и Ташкентская область"
"M71","M71 УЧХОЗ","Ташкент и Ташкентская область"
"M72","M72 ЧИЛОНЗОР 23","Ташкент и Ташкентская область"
"M73","M73 СЕРГЕЛИ GH","Ташкент и Ташкентская область"
"M74","M74 GMPT завод","Ташкент и Ташкентская область"
"M75","M75 СЕРГЕЛИ 3","Ташкент и Ташкентская область"
"M76","M76 ПАРКЕНТСКИЙ","Ташкент и Ташкентская область"
"M77","M77 ЧИЛАНЗАР 16","Ташкент и Ташкентская область"
